m,c
-2.977,2.9774144015745403
-2.976,2.9764158593705417
-2.975,2.9754173219278837
-2.974,2.9744187892607554
-2.973,2.973420261383383
-2.972,2.9724217383100298
-2.971,2.971423220054997
-2.97,2.970424706632624
-2.969,2.969426198057286
-2.968,2.9684276943433994
-2.967,2.9674291955054164
-2.966,2.9664307015578273
-2.965,2.9654322125151604
-2.964,2.9644337283919846
-2.963,2.963435249202904
-2.962,2.9624367749625633
-2.961,2.961438305685644
-2.96,2.9604398413868678
-2.959,2.959441382080994
-2.958,2.958442927782821
-2.957,2.9574444785071856
-2.956,2.9564460342689647
-2.955,2.9554475950830734
-2.954,2.954449160964466
-2.953,2.9534507319281347
-2.952,2.9524523079891134
-2.951,2.9514538891624738
-2.95,2.9504554754633276
-2.949,2.9494570669068256
-2.948,2.948458663508158
-2.947,2.9474602652825563
-2.946,2.9464618722452895
-2.945,2.9454634844116674
-2.944,2.9444651017970416
-2.943,2.9434667244168002
-2.942,2.942468352286374
-2.941,2.9414699854212336
-2.94,2.9404716238368898
-2.939,2.9394732675488924
-2.938,2.938474916572834
-2.937,2.937476570924347
-2.936,2.9364782306191026
-2.935,2.9354798956728163
-2.934,2.934481566101241
-2.933,2.933483241920172
-2.932,2.9324849231454464
-2.931,2.931486609792941
-2.93,2.9304883018785746
-2.929,2.929489999418306
-2.928,2.928491702428138
-2.927,2.9274934109241126
-2.926,2.926495124922314
-2.925,2.9254968444388676
-2.924,2.9244985694899412
-2.923,2.9235003000917454
-2.922,2.92250203626053
-2.921,2.9215037780125885
-2.92,2.920505525364257
-2.919,2.9195072783319125
-2.918,2.9185090369319746
-2.917,2.9175108011809057
-2.916,2.9165125710952107
-2.915,2.9155143466914373
-2.914,2.914516127986174
-2.913,2.913517914996054
-2.912,2.912519707737753
-2.911,2.9115215062279893
-2.91,2.910523310483523
-2.909,2.9095251205211587
-2.908,2.9085269363577453
-2.907,2.9075287580101725
-2.906,2.906530585495375
-2.905,2.905532418830329
-2.904,2.904534258032058
-2.903,2.903536103117625
-2.902,2.9025379541041394
-2.901,2.9015398110087527
-2.9,2.900541673848662
-2.899,2.8995435426411076
-2.898,2.8985454174033736
-2.897,2.897547298152788
-2.896,2.8965491849067257
-2.895,2.8955510776826023
-2.894,2.8945529764978803
-2.893,2.8935548813700653
-2.892,2.892556792316709
-2.891,2.891558709355408
-2.89,2.8905606325038007
-2.889,2.889562561779574
-2.888,2.8885644972004596
-2.887,2.887566438784232
-2.886,2.8865683865487126
-2.885,2.885570340511767
-2.884,2.8845723006913087
-2.883,2.883574267105294
-2.882,2.8825762397717263
-2.881,2.8815782187086527
-2.88,2.88058020393417
-2.879,2.8795821954664174
-2.878,2.8785841933235816
-2.877,2.877586197523894
-2.876,2.876588208085635
-2.875,2.875590225027129
-2.874,2.8745922483667465
-2.873,2.8735942781229067
-2.872,2.8725963143140727
-2.871,2.871598356958757
-2.87,2.8706004060755164
-2.869,2.8696024616829563
-2.868,2.868604523799728
-2.867,2.867606592444531
-2.866,2.86660866763611
-2.865,2.86561074939326
-2.864,2.8646128377348203
-2.863,2.86361493267968
-2.862,2.8626170342467736
-2.861,2.861619142455085
-2.86,2.8606212573236456
-2.859,2.8596233788715333
-2.858,2.8586255071178766
-2.857,2.8576276420818485
-2.856,2.856629783782673
-2.855,2.8556319322396218
-2.854,2.8546340874720144
-2.853,2.8536362494992185
-2.852,2.852638418340651
-2.851,2.851640594015777
-2.85,2.8506427765441114
-2.849,2.8496449659452163
-2.848,2.8486471622387035
-2.847,2.847649365444235
-2.846,2.84665157558152
-2.845,2.8456537926703174
-2.844,2.8446560167304367
-2.843,2.843658247781736
-2.842,2.842660485844123
-2.841,2.8416627309375553
-2.84,2.8406649830820387
-2.839,2.839667242297632
-2.838,2.8386695086044416
-2.837,2.8376717820226234
-2.836,2.836674062572386
-2.835,2.8356763502739852
-2.834,2.834678645147731
-2.833,2.83368094721398
-2.832,2.8326832564931412
-2.831,2.831685573005675
-2.83,2.830687896772091
-2.829,2.8296902278129505
-2.828,2.8286925661488658
-2.827,2.8276949118005
-2.826,2.826697264788568
-2.825,2.825699625133836
-2.824,2.8247019928571198
-2.823,2.823704367979288
-2.822,2.8227067505212626
-2.821,2.821709140504014
-2.82,2.8207115379485668
-2.819,2.819713942875996
-2.818,2.818716355307431
-2.817,2.8177187752640496
-2.816,2.8167212027670843
-2.815,2.815723637837821
-2.814,2.814726080497595
-2.813,2.813728530767796
-2.812,2.812730988669867
-2.811,2.811733454225302
-2.81,2.810735927455649
-2.809,2.809738408382509
-2.808,2.8087408970275343
-2.807,2.807743393412434
-2.806,2.8067458975589665
-2.805,2.805748409488947
-2.804,2.804750929224241
-2.803,2.80375345678677
-2.802,2.802755992198509
-2.801,2.8017585354814853
-2.8,2.8007610866577815
-2.799,2.799763645749534
-2.798,2.798766212778933
-2.797,2.797768787768223
-2.796,2.7967713707397026
-2.795,2.7957739617157262
-2.794,2.794776560718701
-2.793,2.79377916777109
-2.792,2.79278178289541
-2.791,2.791784406114235
-2.79,2.7907870374501913
-2.789,2.7897896769259614
-2.788,2.788792324564282
-2.787,2.7877949803879485
-2.786,2.7867976444198073
-2.785,2.7858003166827636
-2.784,2.7848029971997765
-2.783,2.783805685993862
-2.782,2.7828083830880903
-2.781,2.78181108850559
-2.78,2.7808138022695434
-2.779,2.779816524403191
-2.778,2.7788192549298287
-2.777,2.777821993872808
-2.776,2.7768247412555382
-2.775,2.7758274971014854
-2.774,2.7748302614341713
-2.773,2.773833034277175
-2.772,2.7728358156541324
-2.771,2.7718386055887376
-2.77,2.7708414041047407
-2.769,2.7698442112259487
-2.768,2.768847026976227
-2.767,2.7678498513794993
-2.766,2.766852684459745
-2.765,2.7658555262410025
-2.764,2.764858376747367
-2.763,2.763861236002993
-2.762,2.762864104032093
-2.761,2.7618669808589376
-2.76,2.760869866507853
-2.759,2.7598727610032285
-2.758,2.7588756643695085
-2.757,2.7578785766311973
-2.756,2.756881497812858
-2.755,2.755884427939113
-2.754,2.754887367034642
-2.753,2.753890315124185
-2.752,2.7528932722325425
-2.751,2.751896238384572
-2.75,2.750899213605191
-2.749,2.7499021979193783
-2.748,2.7489051913521694
-2.747,2.747908193928662
-2.746,2.7469112056740133
-2.745,2.74591422661344
-2.744,2.744917256772219
-2.743,2.7439202961756872
-2.742,2.742923344849243
-2.741,2.7419264028183448
-2.74,2.7409294701085103
-2.739,2.7399325467453184
-2.738,2.738935632754411
-2.737,2.737938728161488
-2.736,2.7369418329923128
-2.735,2.735944947272707
-2.734,2.734948071028557
-2.733,2.733951204285808
-2.732,2.732954347070468
-2.731,2.731957499408606
-2.73,2.730960661326353
-2.729,2.729963832849902
-2.728,2.728967014005508
-2.727,2.7279702048194867
-2.726,2.7269734053182195
-2.725,2.725976615528146
-2.724,2.7249798354757715
-2.723,2.723983065187661
-2.722,2.7229863046904454
-2.721,2.7219895540108157
-2.72,2.720992813175527
-2.719,2.7199960822113973
-2.718,2.718999361145308
-2.717,2.718002650004203
-2.716,2.7170059488150904
-2.715,2.716009257605042
-2.714,2.715012576401192
-2.713,2.71401590523074
-2.712,2.713019244120948
-2.711,2.7120225930991415
-2.71,2.7110259521927134
-2.709,2.710029321429118
-2.708,2.709032700835873
-2.707,2.708036090440564
-2.706,2.707039490270838
-2.705,2.7060429003544093
-2.704,2.7050463207190543
-2.703,2.7040497513926165
-2.702,2.7030531924030043
-2.701,2.7020566437781905
-2.7,2.701060105546213
-2.699,2.7000635777351754
-2.698,2.6990670603732476
-2.697,2.6980705534886646
-2.696,2.697074057109727
-2.695,2.6960775712648006
-2.694,2.69508109598232
-2.693,2.694084631290783
-2.692,2.6930881772187547
-2.691,2.692091733794866
-2.69,2.6910953010478167
-2.689,2.6900988790063707
-2.688,2.689102467699359
-2.687,2.68810606715568
-2.686,2.6871096774042997
-2.685,2.6861132984742504
-2.684,2.6851169303946314
-2.683,2.68412057319461
-2.682,2.6831242269034212
-2.681,2.682127891550367
-2.68,2.6811315671648166
-2.679,2.680135253776209
-2.678,2.6791389514140493
-2.677,2.678142660107912
-2.676,2.6771463798874384
-2.675,2.6761501107823396
-2.674,2.6751538528223944
-2.673,2.6741576060374515
-2.672,2.6731613704574255
-2.671,2.672165146112302
-2.67,2.671168933032136
-2.669,2.67017273124705
-2.668,2.669176540787237
-2.667,2.668180361682958
-2.666,2.667184193964546
-2.665,2.6661880376624003
-2.664,2.665191892806992
-2.663,2.6641957594288614
-2.662,2.66319963755862
-2.661,2.6622035272269473
-2.66,2.661207428464594
-2.659,2.6602113413023822
-2.658,2.659215265771203
-2.657,2.6582192019020185
-2.656,2.657223149725862
